pathogen,PathogenID,PathogenTaxID,pc1,pc2,Host,HostID,HostTaxID,HType,Hc1,Hc2,papersNO,seqNO
primate t-lymphotropic virus 3,3665276,194443,virus,virus,lophocebus aterrimus,3521417,75566,host,primates,mammals,NULL,4
primate t-lymphotropic virus 3,3665276,194443,virus,virus,macaca cyclopis,3526691,78449,host,primates,mammals,NULL,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,macaca fascicularis,3433477,9541,host,primates,mammals,9,1
primate t-lymphotropic virus 3,3665276,194443,virus,virus,macaca fuscata,3433479,9542,host,primates,mammals,9,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,24,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,macaca nemestrina,3433485,9545,host,primates,mammals,9,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,mandrillus sphinx,3433506,9561,host,primates,mammals,9,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,pan paniscus,3433556,9597,host,primates,mammals,12,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,4,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,25,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,papio anubis,3433500,9555,host,primates,mammals,9,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,papio cynocephalus,3433502,9556,host,primates,mammals,5,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,papio hamadryas,3433504,9557,host,primates,mammals,13,9
primate t-lymphotropic virus 3,3665276,194443,virus,virus,papio papio,3566460,100937,host,primates,mammals,1,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,papio ursinus,3453707,36229,host,primates,mammals,1,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,piliocolobus tholloni,4010782,591935,host,primates,mammals,NULL,1
primate t-lymphotropic virus 3,3665276,194443,virus,virus,theropithecus gelada,3433512,9565,host,primates,mammals,2,9
procyon lotor papillomavirus 1,3768955,312349,virus,virus,procyon lotor,3433651,9654,host,carnivores,mammals,NULL,2
pronghorn antelope pestivirus,3660347,188938,virus,virus,antilocapra americana,3434070,9891,host,ruminants,mammals,NULL,1
prospect hill virus,3436456,11603,virus,virus,microtus pennsylvanicus,3434317,10058,host,rodents,mammals,5,1
protoparvovirus hk-2014,27319916,1566336,virus,virus,gallus gallus,3432625,9031,host,aves,aves,NULL,3
protoparvovirus udayana_mdpva,27674598,1711931,virus,virus,cairina moschata,3432316,8855,host,aves,aves,NULL,2
protoparvovirus udayana_mdpvb,27674600,1711932,virus,virus,cairina moschata,3432316,8855,host,aves,aves,NULL,2
providence virus,3683174,213633,virus,virus,barbastella barbastellus,3494179,59449,host,bats,mammals,NULL,1
pseudocowpox virus,3606292,129726,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,31,26
pseudocowpox virus,3606292,129726,virus,virus,bubalus bubalis,3546118,89462,host,ruminants,mammals,1,1
pseudocowpox virus,3606292,129726,virus,virus,camelus dromedarius,3433981,9838,host,camelidae,mammals,NULL,11
pseudocowpox virus,3606292,129726,virus,virus,cervus elaphus,3434017,9860,host,ruminants,mammals,5,NULL
pseudocowpox virus,3606292,129726,virus,virus,homo sapiens,3433574,9606,host,human,mammals,2,9
pseudocowpox virus,3606292,129726,virus,virus,rangifer tarandus,3434031,9870,host,ruminants,mammals,7,6
psittacid herpesvirus 1,3477921,50294,virus,virus,amazona aestiva,3437918,12930,host,aves,aves,2,7
psittacid herpesvirus 1,3477921,50294,virus,virus,amazona amazonica,3626099,151758,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,amazona oratrix,3626589,152276,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,anodorhynchus hyacinthinus,3480700,51900,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,eupsittula aurea,3480696,51898,host,aves,aves,NULL,4
psittacid herpesvirus 1,3477921,50294,virus,virus,forpus xanthopterygius,3799185,345187,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,pionites leucogaster,3799184,345186,host,aves,aves,NULL,2
psittacid herpesvirus 1,3477921,50294,virus,virus,psittacara leucophthalmus,3650940,178885,host,aves,aves,NULL,5
psittacid herpesvirus 1,3477921,50294,virus,virus,psittacula krameri,3432955,9228,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,pyrrhura cruentata,3768548,311901,host,aves,aves,NULL,1
psittacid herpesvirus 1,3477921,50294,virus,virus,trichoglossus haematodus,3648353,176049,host,aves,aves,1,1
psittacid herpesvirus 3,3707471,240876,virus,virus,neopsephotus bourkii,3766649,309878,host,aves,aves,2,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,alisterus amboinensis,3766642,309870,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,amazona aestiva,3437918,12930,host,aves,aves,NULL,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,amazona auropalliata,3626590,152277,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,amazona leucocephala,3708115,241562,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,amazona rhodocorytha,3710208,244082,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,anas platyrhynchos,3432284,8839,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,anas platyrhynchos,3432284,8839,host,aves,aves,NULL,4
psittaciform 1 bornavirus,26200966,1548713,virus,virus,ara ambiguus,3908603,467031,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,ara ararauna,3432951,9226,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,ara chloropterus,3648317,176013,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,ara glaucogularis,3760690,303304,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,ara macao,3648318,176014,host,aves,aves,NULL,3
psittaciform 1 bornavirus,26200966,1548713,virus,virus,aratinga jandaya,3698958,231027,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,aratinga solstitialis,3648319,176015,host,aves,aves,NULL,4
psittaciform 1 bornavirus,26200966,1548713,virus,virus,aratinga solstitialis,3648319,176015,host,aves,aves,NULL,6
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua alba,3617356,141836,host,aves,aves,NULL,5
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua ducorpsii,3617354,141834,host,aves,aves,NULL,5
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua galerita,3616832,141274,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua galerita,3616832,141274,host,aves,aves,NULL,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua goffiniana,3437974,12983,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua moluccensis,3612466,136504,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua moluccensis,3612466,136504,host,aves,aves,NULL,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cacatua sulphurea,3616831,141271,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,calidris alpina,3432429,8919,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,calidris ruficollis,3735624,272047,host,aves,aves,NULL,5
psittaciform 1 bornavirus,26200966,1548713,virus,virus,callocephalon fimbriatum,24579649,986101,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,calyptorhynchus banksii,3452507,35551,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,cyanoramphus auriceps,3589354,114432,host,aves,aves,NULL,3
psittaciform 1 bornavirus,26200966,1548713,virus,virus,eclectus roratus,3648328,176024,host,aves,aves,NULL,3
psittaciform 1 bornavirus,26200966,1548713,virus,virus,eolophus roseicapillus,3648343,176039,host,aves,aves,NULL,1
