pathogen,PathogenID,PathogenTaxID,pc1,pc2,Host,HostID,HostTaxID,HType,Hc1,Hc2,papersNO,seqNO
acanthamoeba polyphaga mimivirus,3681718,212035,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,10
achimota virus 1,27250094,1261100,virus,virus,eidolon helvum,3524418,77214,host,bats,mammals,NULL,1
achimota virus 2,27250096,1261101,virus,virus,eidolon helvum,3524418,77214,host,bats,mammals,NULL,1
adelaide river virus,3446981,31612,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,4,3
adelie penguin polyomavirus,27619731,1590650,virus,virus,pygoscelis adeliae,3432971,9238,host,aves,aves,1,2
adeno-associated virus,3736135,272636,virus,virus,cairina moschata,3432316,8855,host,aves,aves,NULL,1
adeno-associated virus,3736135,272636,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,10,NULL
adeno-associated virus,3736135,272636,virus,virus,homo sapiens,3433574,9606,host,human,mammals,547,10
adeno-associated virus,3736135,272636,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,48,25
adeno-associated virus clade a,27410406,1717193,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,33
adeno-associated virus clade c,27676950,1717194,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus clade d,27676952,1717195,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-10,27676954,1717196,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,3
adeno-associated virus predict_aav-11,27676956,1717197,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,6
adeno-associated virus predict_aav-5,27410408,1717198,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adeno-associated virus predict_aav-6,27410410,1717199,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-7,27410412,1717200,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-8,27410414,1717201,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,4
adeno-associated virus predict_aav-9,27676958,1717202,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adeno-associated virus rh.8,27676960,1717203,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,32
adenovirus predict_adv-69,27410344,1717143,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adenovirus predict_adv-72,27676904,1717144,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,3
adler hantavirus,26302996,1578833,virus,virus,microtus majori,3733465,269657,host,rodents,mammals,1,25
african elephant polyomavirus 1,27760195,1399914,virus,virus,loxodonta africana,3433889,9785,host,other mammals,mammals,1,2
african green monkey polyomavirus,3437738,12480,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,16,NULL
african green monkey simian foamy virus,3792643,338079,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,2,1
african horse sickness virus,3460146,40050,virus,virus,equus asinus,3433905,9793,host,equids,mammals,17,NULL
african horse sickness virus,3460146,40050,virus,virus,equus asinus x caballus,24320964,319699,host,equids,mammals,8,NULL
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,10
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,11
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,12
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,13
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,20
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,42
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,62
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,490
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,96,605
african swine fever virus,3435001,10497,virus,virus,phacochoerus aethiopicus,3539195,85517,host,suina,mammals,3,2
african swine fever virus,3435001,10497,virus,virus,phacochoerus africanus,3462605,41426,host,suina,mammals,28,34
african swine fever virus,3435001,10497,virus,virus,potamochoerus larvatus,3737206,273792,host,suina,mammals,8,5
african swine fever virus,3435001,10497,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
african swine fever virus,3435001,10497,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,120,950
african swine fever virus,3435001,10497,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,927,913
aichivirus a,3515363,72149,virus,virus,canis adustus,3509500,68723,host,carnivores,mammals,NULL,2
aichivirus a,3515363,72149,virus,virus,canis aureus,3509501,68724,host,carnivores,mammals,NULL,1
aichivirus a,3515363,72149,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,NULL,1
aichivirus a,3515363,72149,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,NULL,5
aichivirus a,3515363,72149,virus,virus,coracias garrulus,3659778,188338,host,aves,aves,NULL,1
aichivirus a,3515363,72149,virus,virus,crocuta crocuta,3433694,9678,host,carnivores,mammals,NULL,1
aichivirus a,3515363,72149,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,NULL,20
aichivirus a,3515363,72149,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
aichivirus a,3515363,72149,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,217
aichivirus a,3515363,72149,virus,virus,homo sapiens,3433574,9606,host,human,mammals,4,145
aichivirus b,3665716,194965,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,NULL,1
aichivirus b,3665716,194965,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,3,5
aichivirus b,3665716,194965,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,NULL,4
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,2
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,8
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,14
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,184
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,2,160
aichivirus c,26310400,1298633,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,4,118
aichivirus d,27724797,1897731,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,NULL,2
akabane virus,3512557,70566,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,72,NULL
akabane virus,3512557,70566,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,14,1
akabane virus,3512557,70566,virus,virus,ovis aries,3434136,9940,host,ruminants,mammals,25,4
akabane virus,3512557,70566,virus,virus,rhizomys pruinosus,3483188,53275,host,rodents,mammals,NULL,16
akabane virus,3512557,70566,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,5,2
akhtuba virus,26302972,1539747,virus,virus,anas acuta,3442667,28680,host,aves,aves,NULL,3
alcelaphine herpesvirus 1,3452140,35252,virus,virus,alcelaphus buselaphus,3494305,59517,host,ruminants,mammals,6,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,bison bison,3434090,9901,host,ruminants,mammals,6,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,bos gaurus,3434096,9904,host,ruminants,mammals,5,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,105,1
alcelaphine herpesvirus 1,3452140,35252,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,12,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,cervus elaphus,3434017,9860,host,ruminants,mammals,6,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,cervus nippon,3434021,9863,host,ruminants,mammals,4,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,connochaetes gnou,3494325,59528,host,ruminants,mammals,4,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,connochaetes taurinus,3434119,9927,host,ruminants,mammals,1,7
alcelaphine herpesvirus 1,3452140,35252,virus,virus,connochaetes taurinus,3434119,9927,host,ruminants,mammals,12,9
alcelaphine herpesvirus 1,3452140,35252,virus,virus,damaliscus lunatus,3434123,9929,host,ruminants,mammals,4,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,odocoileus virginianus,3434038,9874,host,ruminants,mammals,9,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,ovibos moschatus,3455253,37176,host,ruminants,mammals,4,NULL
alcelaphine herpesvirus 1,3452140,35252,virus,virus,syncerus caffer,3434174,9970,host,ruminants,mammals,4,NULL
alcelaphine herpesvirus 2,3613989,138184,virus,virus,cervus elaphus,3434017,9860,host,ruminants,mammals,1,2
alcelaphine herpesvirus 2,3613989,138184,virus,virus,damaliscus lunatus,3434123,9929,host,ruminants,mammals,1,3
allpahuayo mammarenavirus,3620060,144752,virus,virus,oecomys bicolor,3474085,48011,host,rodents,mammals,1,3
alouatta guariba papillomavirus 1,26205630,1784959,virus,virus,alouatta guariba,3654168,182256,host,primates,mammals,1,2
alpaca coronavirus,27457890,1770168,virus,virus,vicugna pacos,3445626,30538,host,camelidae,mammals,NULL,23
alphacoronavirus 1,4073256,693997,virus,virus,acinonyx jubatus,3448402,32536,host,carnivores,mammals,10,NULL
alphacoronavirus 1,4073256,693997,virus,virus,ailuropoda melanoleuca,3433636,9646,host,carnivores,mammals,4,3
alphacoronavirus 1,4073256,693997,virus,virus,canis latrans,3433582,9614,host,carnivores,mammals,7,NULL
alphacoronavirus 1,4073256,693997,virus,virus,canis lupus,3433580,9612,host,carnivores,mammals,5,NULL
alphacoronavirus 1,4073256,693997,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,NULL,1
alphacoronavirus 1,4073256,693997,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,NULL,12
alphacoronavirus 1,4073256,693997,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,15,2
alphacoronavirus 1,4073256,693997,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,53,408
alphacoronavirus 1,4073256,693997,virus,virus,canis mesomelas,3509503,68725,host,carnivores,mammals,NULL,2
alphacoronavirus 1,4073256,693997,virus,virus,crocuta crocuta,3433694,9678,host,carnivores,mammals,1,27
alphacoronavirus 1,4073256,693997,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,NULL,1
alphacoronavirus 1,4073256,693997,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,NULL,31
alphacoronavirus 1,4073256,693997,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,25,2
alphacoronavirus 1,4073256,693997,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,53,4
alphacoronavirus 1,4073256,693997,virus,virus,felis catus,3433706,9685,host,carnivores,mammals,95,1062
alphacoronavirus 1,4073256,693997,virus,virus,felis silvestris,3433704,9683,host,carnivores,mammals,5,NULL
alphacoronavirus 1,4073256,693997,virus,virus,felis silvestris,3433704,9683,host,carnivores,mammals,6,NULL
alphacoronavirus 1,4073256,693997,virus,virus,felis silvestris,3433704,9683,host,carnivores,mammals,13,NULL
alphacoronavirus 1,4073256,693997,virus,virus,leopardus pardalis,3448404,32538,host,carnivores,mammals,NULL,2
alphacoronavirus 1,4073256,693997,virus,virus,melogale moschata,3674495,204267,host,carnivores,mammals,NULL,1
alphacoronavirus 1,4073256,693997,virus,virus,mustela putorius,3433676,9668,host,carnivores,mammals,6,NULL
alphacoronavirus 1,4073256,693997,virus,virus,nyctereutes procyonoides,3451573,34880,host,carnivores,mammals,2,2
alphacoronavirus 1,4073256,693997,virus,virus,panthera leo,3433712,9689,host,carnivores,mammals,8,NULL
alphacoronavirus 1,4073256,693997,virus,virus,pteropus giganteus,3618717,143291,host,bats,mammals,NULL,1
alphacoronavirus 1,4073256,693997,virus,virus,puma concolor,3433725,9696,host,carnivores,mammals,6,NULL
alphacoronavirus 1,4073256,693997,virus,virus,puma yagouaroundi,25996844,1608482,host,carnivores,mammals,1,1
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,3,1
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,4,11
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,26,NULL
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,33,NULL
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,35,NULL
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,115,2
alphacoronavirus 1,4073256,693997,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,586,65
alphacoronavirus pip1_cr_fr_2014,27668774,1696541,virus,virus,pipistrellus pipistrellus,3494221,59474,host,bats,mammals,NULL,1
alphacoronavirus pip2_cr_fr_2014,27400896,1696542,virus,virus,pipistrellus pipistrellus,3494221,59474,host,bats,mammals,NULL,1
alphacoronavirus pip3_m_fr_2014,27400898,1696543,virus,virus,pipistrellus pipistrellus,3494221,59474,host,bats,mammals,NULL,1
alphacoronavirus tt-2016a,27467592,1805601,virus,virus,microtus agrestis,3443349,29092,host,rodents,mammals,NULL,2
alphacoronavirus tt-2016a,27467592,1805601,virus,virus,myodes glareolus,3891106,447135,host,rodents,mammals,NULL,1
alphacoronavirus tt-2016a,27467592,1805601,virus,virus,rattus norvegicus,3434405,10116,host,rodents,mammals,NULL,1
alphacoronavirus tt-2016a,27467592,1805601,virus,virus,sorex araneus,3464087,42254,host,other mammals,mammals,NULL,1
alphapapillomavirus 1,3791691,337048,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,8
alphapapillomavirus 1,3791691,337048,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,177
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,6
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,7
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,9
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,10
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,641
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1156
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,10
alphapapillomavirus 10,3788617,333754,virus,virus,homo sapiens,3433574,9606,host,human,mammals,3,9
alphapapillomavirus 11,3791692,337049,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,12
alphapapillomavirus 11,3791692,337049,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,21
alphapapillomavirus 12,3435090,10570,virus,virus,macaca fascicularis,3433477,9541,host,primates,mammals,NULL,1
alphapapillomavirus 13,3788629,333766,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,3
alphapapillomavirus 13,3788629,333766,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,5
alphapapillomavirus 2,3791683,337039,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
alphapapillomavirus 2,3791683,337039,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,4
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,7
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,14
alphapapillomavirus 3,3788630,333767,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,109
alphapapillomavirus 4,3791686,337043,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
alphapapillomavirus 4,3791686,337043,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
alphapapillomavirus 5,3791687,337044,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,3
alphapapillomavirus 5,3791687,337044,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,7
alphapapillomavirus 5,3791687,337044,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,75
alphapapillomavirus 6,3791693,337050,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
alphapapillomavirus 6,3791693,337050,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,8
alphapapillomavirus 6,3791693,337050,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,444
alphapapillomavirus 6,3791693,337050,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,143
alphapapillomavirus 6,3791693,337050,virus,virus,homo sapiens,3433574,9606,host,human,mammals,2,166
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,8
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,29
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,59
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,654
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,43
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,89
alphapapillomavirus 7,3791685,337042,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,225
alphapapillomavirus 8,3788620,333757,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
alphapapillomavirus 8,3788620,333757,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,4
alphapapillomavirus 8,3788620,333757,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,6
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,16
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,94
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,4157
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,130
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,885
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,2,1399
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,9,309
alphapapillomavirus 9,3791684,337041,virus,virus,homo sapiens,3433574,9606,host,human,mammals,10,517
altai virus,3953012,517361,virus,virus,sorex araneus,3464087,42254,host,other mammals,mammals,NULL,2
altai virus,3953012,517361,virus,virus,sorex caecutiens,3499107,62276,host,other mammals,mammals,NULL,17
altai virus,3953012,517361,virus,virus,sorex roboratus,3499129,62288,host,other mammals,mammals,NULL,4
altai-like virus,26302990,1570420,virus,virus,sorex caecutiens,3499107,62276,host,other mammals,mammals,NULL,2
alto paraguay hantavirus,3725788,261202,virus,virus,holochilus chacarius,3688016,218787,host,rodents,mammals,NULL,3
american bat vesiculovirus tffn-2013,27803834,1344113,virus,virus,eptesicus fuscus,3443321,29078,host,bats,mammals,NULL,2
american bison gammaherpesvirus,3648128,175816,virus,virus,bison bison,3434090,9901,host,ruminants,mammals,NULL,1
amga virus,26302950,1511732,virus,virus,sorex caecutiens,3499107,62276,host,other mammals,mammals,1,14
amur virus,3541335,86782,virus,virus,apodemus peninsulae,3573952,105297,host,rodents,mammals,NULL,1
amur virus,3541335,86782,virus,virus,apodemus peninsulae,3573952,105297,host,rodents,mammals,NULL,2
amur virus,3541335,86782,virus,virus,apodemus peninsulae,3573952,105297,host,rodents,mammals,6,21
amur virus,3541335,86782,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
anatid herpesvirus 1,3572342,104388,virus,virus,anas platyrhynchos,3432284,8839,host,aves,aves,36,97
andes virus,3471595,46607,virus,virus,abrothrix longipilis,3443351,29094,host,rodents,mammals,3,2
andes virus,3471595,46607,virus,virus,akodon montensis,3575432,106112,host,rodents,mammals,3,3
andes virus,3471595,46607,virus,virus,auliscomys micropus,3545510,89122,host,rodents,mammals,1,1
andes virus,3471595,46607,virus,virus,bolomys lasiurus,3445763,30635,host,rodents,mammals,5,28
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,4
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,6
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,7
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,1,7
andes virus,3471595,46607,virus,virus,homo sapiens,3433574,9606,host,human,mammals,13,37
andes virus,3471595,46607,virus,virus,mesocricetus auratus,3434286,10036,host,rodents,mammals,25,NULL
andes virus,3471595,46607,virus,virus,neacomys spinosus,3474076,48005,host,rodents,mammals,NULL,3
andes virus,3471595,46607,virus,virus,oligoryzomys chacoensis,3454991,37015,host,rodents,mammals,NULL,2
andes virus,3471595,46607,virus,virus,oligoryzomys chacoensis,3454991,37015,host,rodents,mammals,NULL,4
andes virus,3471595,46607,virus,virus,oligoryzomys chacoensis,3454991,37015,host,rodents,mammals,2,1
andes virus,3471595,46607,virus,virus,oligoryzomys flavescens,3688052,218824,host,rodents,mammals,NULL,1
andes virus,3471595,46607,virus,virus,oligoryzomys flavescens,3688052,218824,host,rodents,mammals,NULL,6
andes virus,3471595,46607,virus,virus,oligoryzomys flavescens,3688052,218824,host,rodents,mammals,NULL,9
andes virus,3471595,46607,virus,virus,oligoryzomys fulvescens,3688053,218825,host,rodents,mammals,3,7
andes virus,3471595,46607,virus,virus,oligoryzomys longicaudatus,3613116,137207,host,rodents,mammals,NULL,3
andes virus,3471595,46607,virus,virus,oligoryzomys longicaudatus,3613116,137207,host,rodents,mammals,21,65
andes virus,3471595,46607,virus,virus,oligoryzomys nigripes,3454993,37017,host,rodents,mammals,NULL,1
andes virus,3471595,46607,virus,virus,oligoryzomys nigripes,3454993,37017,host,rodents,mammals,NULL,2
andes virus,3471595,46607,virus,virus,oxymycterus nasutus,3610977,134911,host,rodents,mammals,NULL,1
andes virus,3471595,46607,virus,virus,oxymycterus nasutus,3610977,134911,host,rodents,mammals,NULL,2
andes virus,3471595,46607,virus,virus,peromyscus maniculatus,3434295,10042,host,rodents,mammals,6,NULL
andes virus,3471595,46607,virus,virus,rattus norvegicus,3434405,10116,host,rodents,mammals,2,1
andes virus,3471595,46607,virus,virus,rattus rattus,3434407,10117,host,rodents,mammals,1,1
anhanga virus,4194446,904722,virus,virus,choloepus didactylus,3441147,27675,host,other mammals,mammals,NULL,6
anjozorobe hantavirus,26302914,1424613,virus,virus,eliurus majori,3577526,107283,host,rodents,mammals,1,6
anjozorobe hantavirus,26302914,1424613,virus,virus,rattus rattus,3434407,10117,host,rodents,mammals,1,8
anlong ms bat coronavirus,27581700,1508221,virus,virus,miniopterus schreibersii,3433300,9433,host,bats,mammals,NULL,1
anlong ms bat coronavirus,27581700,1508221,virus,virus,myotis davidii,3693785,225400,host,bats,mammals,NULL,1
aotine herpesvirus 1,3477913,50290,virus,virus,aotus trivirgatus,3433408,9505,host,primates,mammals,NULL,1
aoudad malignant catarrhal fever virus,3788217,333343,virus,virus,ammotragus lervia,3434086,9899,host,ruminants,mammals,NULL,1
ape aime-itapua virus,4077862,700375,virus,virus,akodon montensis,3575432,106112,host,rodents,mammals,NULL,1
apodemus agrarius rhadinovirus 1,3765575,308716,virus,virus,apodemus agrarius,3458388,39030,host,rodents,mammals,NULL,1
apodemus flavicollis cytomegalovirus 1,3877219,431616,virus,virus,apodemus flavicollis,3484976,54292,host,rodents,mammals,NULL,1
apodemus flavicollis cytomegalovirus 2,3877220,431617,virus,virus,apodemus flavicollis,3484976,54292,host,rodents,mammals,NULL,1
apodemus flavicollis cytomegalovirus 3,3899503,456833,virus,virus,apodemus flavicollis,3484976,54292,host,rodents,mammals,NULL,1
apodemus flavicollis rhadinovirus 1,3846807,398032,virus,virus,apodemus flavicollis,3484976,54292,host,rodents,mammals,NULL,1
apodemus sylvaticus cytomegalovirus 1,3877221,431619,virus,virus,apodemus sylvaticus,3434424,10129,host,rodents,mammals,NULL,1
apodemus sylvaticus papillomavirus 1,24609452,1036963,virus,virus,apodemus sylvaticus,3434424,10129,host,rodents,mammals,NULL,1
apteryx rowi circovirus-like virus,27640334,1634476,virus,virus,apteryx rowi,3764968,308060,host,aves,aves,NULL,1
araguari virus,3805214,352236,virus,virus,philander opossum,3433026,9272,host,marsupials,mammals,NULL,2
araucaria virus,3765044,308159,virus,virus,akodon paranaensis,3698098,230113,host,rodents,mammals,NULL,1
araucaria virus,3765044,308159,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
aravan virus,3681667,211977,virus,virus,myotis blythii,3581335,109482,host,bats,mammals,1,1
arctic fox amdovirus,26747873,1513314,virus,virus,vulpes lagopus,3932989,494514,host,carnivores,mammals,NULL,2
arenavirus dx1401,26752563,1481123,virus,virus,rattus norvegicus,3434405,10116,host,rodents,mammals,NULL,2
aroa virus,3502593,64303,virus,virus,cricetulus griseus,3434272,10029,host,rodents,mammals,NULL,1
artibeus jamaicensis parvovirus 1,27222176,1131485,virus,virus,artibeus jamaicensis,3433274,9417,host,bats,mammals,NULL,8
artybash virus,3953011,517360,virus,virus,sorex caecutiens,3499107,62276,host,other mammals,mammals,1,4
arumowot virus,4194430,904698,virus,virus,turdus libonyana,24321153,411517,host,aves,aves,NULL,4
arvicola terrestris cytomegalovirus 1,3877222,431620,virus,virus,arvicola amphibius,24617143,1047088,host,rodents,mammals,NULL,1
asama virus,3991076,564878,virus,virus,urotrichus talpoides,3575420,106106,host,other mammals,mammals,2,9
ash river virus,3907869,466216,virus,virus,sorex cinereus,3454611,36803,host,other mammals,mammals,1,1
asian elephant endotheliolytic herpesvirus,3549233,91179,virus,virus,elephas maximus,3433885,9783,host,other mammals,mammals,NULL,11
asinine herpesvirus 5,3682077,212435,virus,virus,equus asinus,3433905,9793,host,equids,mammals,2,1
asinine herpesvirus 5,3682077,212435,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,1
astrovirus 2010_msc_18001_mlb,27260354,1293420,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
astrovirus dogfaeces/bari/2008,24327430,764592,virus,virus,canis lupus familiaris,3433584,9615,host,carnivores,mammals,NULL,1
astrovirus hk-2014,27319914,1566335,virus,virus,gallus gallus,3432625,9031,host,aves,aves,NULL,4
